Time,PV [kWh],WT [kWh],Load [kWh],Battery [kWh],Diesel [kWh],Electric Grid[$]
09:10,0.08321,0.05,0.0038333333,0,0,0.3
09:15,0.064,0.05,0.0033291667,0,0,0.3
09:20,0.09496,0.03,0.0033716667,0,0,0.3
09:25,0.1059,0.03,0.0097141667,0,0,0.3
09:30,0.13527,0.01,0.0145075,0,0,0.3
09:35,0.13975,0.01,0.013945,0,0,0.3
09:40,0.12532,0.02,0.0108,0,0,0.3
09:45,0.12118,0.02,0.0034866667,0,0,0.3
09:50,0.14202,0.02,0.0034691667,0,0,0.3
09:55,0.14915,0.02,0.0034716667,0,0,0.3
10:00,0.14964,0,0.0034566667,0,0,0.2
10:05,0.15019,0,0.00347,0,0,0.2
10:10,0.14908,0,0.0091558333,0,0,0.2
10:15,0.14755,0,0.014575,0,0,0.2
10:20,0.14898,0,0.0139316667,0,0,0.2
10:25,0.14985,0,0.0109083333,0,0,0.2
10:30,0.15113,0.03,0.00346,0,0,0.2
10:35,0.14856,0.03,0.0034641667,0,0,0.2
10:40,0.14955,0.04,0.0034491667,0,0,0.2
10:45,0.15094,0.04,0.00345,0,0,0.2
10:50,0.15157,0.05,0.003445,0,0,0.2
10:55,0.15233,0.05,0.0078266667,0,0,0.2
11:00,0.15217,0.08,0.0145308333,0,0,0.2
11:05,0.15111,0.08,0.0139808333,0,0,0.2
11:10,0.15006,0.1,0.0122858333,0,0,0.2
11:15,0.15104,0.1,0.00335,0,0,0.2
11:20,0.1494,0.1,0.0033891667,0,0,0.2
11:25,0.15058,0.1,0.0034466667,0,0,0.2
11:30,0.15281,0.09,0.0034375,0,0,0.2
11:35,0.15265,0.09,0.0034075,0,0,0.2
11:40,0.15165,0.08,0.004505,0,0,0.2
11:45,0.15069,0.08,0.0144858333,0,0,0.2
11:50,0.1511,0.06,0.0141866667,0,0,0.2
11:55,0.15555,0.06,0.0129866667,0,0,0.2
12:00,0.1546,0.0588516746,0.0059675,0,0,0.2
12:05,0.15431,0.0588516746,0.003445,0,0,0.2
12:10,0.15598,0.0727272727,0.0034391667,0,0,0.2
12:15,0.1553,0.0727272727,0.0034191667,0,0,0.2
12:20,0.15532,0.090430622,0.00343,0,0,0.2
12:25,0.15527,0.090430622,0.0034375,0,0,0.2
12:30,0.15434,0.085645933,0.0109183333,0,0,0.2
12:35,0.15496,0.085645933,0.01443,0,0,0.2
12:40,0.15479,0.0607655502,0.0136783333,0,0,0.2
12:45,0.1551,0.0607655502,0.0095675,0,0,0.2
12:50,0.15504,0.0650717703,0.0034008333,0,0,0.2
12:55,0.15887,0.0650717703,0.0033916667,0,0,0.2
13:00,0.1606,0.0976076555,0.0033566667,0,0,0.2
13:05,0.16011,0.0976076555,0.0033683333,0,0,0.2
13:10,0.16153,0.1105263158,0.00339,0,0,0.2
13:15,0.16175,0.1105263158,0.0050758333,0,0,0.2
13:20,0.16088,0.1157894737,0.0145675,0,0,0.2
13:25,0.16079,0.1157894737,0.0141666667,0,0,0.2
13:30,0.16111,0.1167464115,0.0128475,0,0,0.2
13:35,0.16048,0.1167464115,0.0051216667,0,0,0.2
13:40,0.16058,0.1387559809,0.00338,0,0,0.2
13:45,0.16143,0.1387559809,0.0033766667,0,0,0.2
13:50,0.16083,0.2019138756,0.0034166667,0,0,0.2
13:55,0.16066,0.2019138756,0.0033966667,0,0,0.2
14:00,0.16091,0.2961722488,0.0033583333,0,0,0.2
14:05,0.16152,0.2961722488,0.0091808333,0,0,0.2
14:10,0.16253,0.2129186603,0.0144716667,0,0,0.2
14:15,0.16242,0.2129186603,0.01385,0,0,0.2
14:20,0.1613,0.2009569378,0.0115133333,0,0,0.2
14:25,0.16285,0.2009569378,0.0117066667,0,0,0.2
14:30,0.16245,0.1813397129,0.0120183333,0,0,0.2
14:35,0.1625,0.1813397129,0.02048,0,0,0.2
14:40,0.16242,0.180861244,0.0341216667,0,0,0.2
14:45,0.16193,0.180861244,0.0262883333,0,0,0.2
14:50,0.16166,0.2,0.0330166667,0,0,0.2
14:55,0.16152,0.2,0.02936,0,0,0.2
15:00,0.16134,0.180861244,0.019725,0,0,0.2
15:05,0.16177,0.180861244,0.0155366667,0,0,0.2
15:10,0.16056,0.1818181818,0.0093441667,0,0,0.2
15:15,0.15935,0.1818181818,0.0093391667,0,0,0.2
15:20,0.15934,0.2066985646,0.0090016667,0,0,0.2
15:25,0.15957,0.2066985646,0.0094325,0,0,0.2
15:30,0.15896,0.3210526316,0.0129075,0,0,0.2
15:35,0.1581,0.3210526316,0.0268908333,0,0,0.2
15:40,0.15748,0.3320574163,0.0429916667,0,0,0.2
15:45,0.15798,0.3320574163,0.0427341667,0,0,0.2
15:50,0.15832,0.2818181818,0.0424725,0,0,0.2
